longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
0.3804780876494025,0.7704569606801277,0.3333333333333333,0.0324766047185976,0.04112352576039727,0.015134953333893888,0.0328893274132544,0.13901187569826623,0.11732116568591469
0.7001992031872515,0.07545164718384711,0.11764705882352942,0.06582311849215763,0.06502172563625078,0.03674430337173127,0.06528531491530998,0.30000275858264025,0.35443358996457747
0.5776892430278888,0.17428267800212538,0.6078431372549019,0.0793198892843021,0.08193668528864059,0.035987555705036575,0.08617003782272653,0.31451979972690036,0.6103088234687692
0.7201195219123502,0.16153028692879978,0.7254901960784313,0.007354685646500593,0.008379888268156424,0.004148098321141287,0.008386778490379873,0.06142673894153185,0.21814549218353738
0.23107569721115517,0.5717321997874603,0.43137254901960786,0.08741267958349809,0.06315952824332713,0.03141904201350935,0.06446308172997862,0.4196355912332244,0.7088651180819874
0.2958167330677295,0.6493092454835283,0.6470588235294117,0.02169500461315408,0.02669149596523898,0.00986574735839009,0.021213616181549086,0.18523192783547815,0.1948466191891992
0.3356573705179269,0.5419766206163659,0.7647058823529411,0.04715961513114538,0.05555555555555555,0.01894671935872642,0.05278737049827331,0.11350877918925258,0.23773304027612258
0.6533864541832664,0.1285866099893731,0.49019607843137253,0.0778436799789113,0.05834885164494103,0.03001765744555621,0.061174148988653185,0.6127225831367843,1.0
0.2350597609561742,0.5621679064824656,0.29411764705882354,0.07742190589165678,0.05881440099317194,0.03290450965553967,0.06495642164117744,0.5230272685893989,0.7360815006948426
0.5896414342629477,0.1795961742826777,0.6666666666666666,0.032239356794516935,0.035226567349472375,0.020095854704447996,0.03782272652524256,0.20009379180976816,0.33299037942111576
0.6424302788844614,0.12646121147715172,0.49019607843137253,0.034849083959404246,0.048572315332091866,0.05047787213767202,0.05097845749054432,0.23903118577674792,0.33711407375639685
0.5926294820717128,0.16684378320935167,0.6078431372549019,0.14698826940819823,0.11669770328988206,0.043835309285574144,0.11445485939812532,1.0,1.0
0.1762948207171302,0.5908607863974495,0.411764705882353,0.3129036509819428,0.3567659838609559,0.15687098853667422,0.3616181549087321,0.2859546764872209,0.5387627267516423
