latitude,housing_median_age,total_rooms,median_income,median_house_value
0.17534537725823585,0.27450980392156865,0.14788453934361406,0.06853008924014842,0.10701192984771196
0.19766206163655697,0.35294117647058826,0.20160801370765782,0.0910401235845023,0.13422831246056716
0.12221041445270986,0.3137254901960784,0.01892711216554633,0.07937821547289003,0.14577465659935424
0.11689691817215753,0.25490196078431376,0.03951495979965731,0.18563881877491345,0.12041393643737552
0.10945802337938382,0.37254901960784315,0.038275998418347175,0.09828140301513084,0.10412534381301519
0.11583421891604706,0.5490196078431372,0.036509819427968895,0.19612832926442397,0.12165104473795985
0.11370882040382568,0.47058823529411764,0.07657835771714776,0.1501289637384312,0.13897056094614044
0.24335812964930925,0.7843137254901961,0.021352313167259787,0.08333678156163364,0.06907394196312593
0.11370882040382568,0.6470588235294117,0.12618953473046,0.11574323112784653,0.08948622892276732
0.24335812964930925,0.8823529411764706,0.03940951627784368,0.11661218465952193,0.0682492030960697
0.11477151965993615,0.29411764705882354,0.09856333201528931,0.15032896097984855,0.14742413433346666
0.11264612114771566,0.39215686274509803,0.05235270858046659,0.077592033213335,0.0969088787262733
0.24442082890542016,0.9215686274509803,0.03397917490444181,0.11428807878512019,0.06928012667988998
0.24335812964930925,0.588235294117647,0.06526954000263609,0.18703879946483498,0.11422839493445389
0.023379383634431594,0.27450980392156865,0.03811783313562673,0.024730693369746627,0.061857476876384015
0.2497343251859725,0.3137254901960784,0.06732568867800184,0.08270230755437857,0.11154799361652115
0.11264612114771566,0.5294117647058824,0.04418083563991037,0.17002524103115824,0.16474365054164725
0.026567481402762994,0.39215686274509803,0.0011071569790431,0.024634142977338243,0.0206205335235731
0.02125398512221066,0.3137254901960784,0.0365361803084223,0.048620019034220224,0.05979562970874347
0.14665249734325236,0.3137254901960784,0.0025042836430736785,0.052806168190783584,0.025775151442674466
0.10095642933050009,0.37254901960784315,0.03925135099512324,0.0785920194204218,0.06062036857579968
0.0945802337938364,0.45098039215686275,0.02093053908000527,0.027344450421373498,0.09113570665687976
0.21360255047821441,0.37254901960784315,0.009173586397785687,0.077592033213335,0.07216671271458674
